site,month,d2h,d18o,sample_site,sample_month,sample_d2h,sample_d18o
AFR,Jan,-295,-38.6,AFR,Aug,-171.3626666667,-22.5836666667
AFR,Feb,-266,-34.9,AFR,Aug,-169.3863333333,-22.192
AFR,Mar,-261,-34.6,AFR,Aug,-191.8036666667,-25.1853333333
AFR,Apr,-238,-31.5,CF8,May,-136.5846666667,-18.211
AFR,May,-175,-23.4,CF8,May,-136.5893333333,-18.187
AFR,Jun,-159,-21.4,CF8,Aug,-126.9793333333,-17.1886666667
AFR,Jul,-124,-16.6,CF8,May,-135.6016666667,-17.9496666667
AFR,Aug,-149,-19.5,CF8,May,-135.446,-17.948
AFR,Sep,-151,-20.5,CF8,May,-135.8253333333,-18.282
AFR,Oct,-182,-24.6,CF8,May,-137.7053333333,-18.369
AFR,Nov,-223,-30,CF8,Aug,-98.116,-9.7823333333
AFR,Dec,-260,-35,CF8,Aug,-127.1153333333,-17.224
CF8,Jan,-287,-37.3,QPT,Aug,-130.9482723159,-15.9973200108
CF8,Feb,-248,-32.6,QPT,Aug,-130.4088723974,-15.9650755034
CF8,Mar,-247,-32.6,QPT,Jul,-127.742,-16.5223333333
CF8,Apr,-224,-29.6,QPT,Jul,-130.4323333333,-16.8743333333
CF8,May,-151,-20.5,QPT,Aug,-126.7996666667,-15.8333333333
CF8,Jun,-143,-19.2,QPT,Aug,-126.2006666667,-15.902
CF8,Jul,-108,-14.4,,,,
CF8,Aug,-136,-17.7,,,,
CF8,Sep,-133,-17.9,,,,
CF8,Oct,-165,-22.2,,,,
CF8,Nov,-203,-27.3,,,,
CF8,Dec,-244,-33.1,,,,
QPT,Jan,-238,-30.3,,,,
QPT,Feb,-197,-25.9,,,,
QPT,Mar,-188,-24.5,,,,
QPT,Apr,-171,-22.5,,,,
QPT,May,-144,-15.3,,,,
QPT,Jun,-110,-14.5,,,,
QPT,Jul,-80,-10.6,,,,
QPT,Aug,-101,-12.8,,,,
QPT,Sep,-101,-13.5,,,,
QPT,Oct,-129,-17.4,,,,
QPT,Nov,-154,-20.8,,,,
QPT,Dec,-185,-25.2,,,,
